match_id,times,rad_gold_adv,rad_xp_adv
31117,720,478,-197
31117,1500,-3414,336
31118,300,183,168
31118,720,-434,-1964
31118,1500,-5728,-9048
31119,300,1766,1631
31119,720,5395,2071
31119,1500,4894,662
31120,300,577,383
31120,720,4607,3205
31121,300,-2081,-2521
31121,720,-6347,-4669
31121,1500,-9547,-11062
31122,300,-236,-303
31122,720,705,361
31122,1500,17114,11845
31123,300,-309,-461
31123,720,-1662,-162
31123,1500,-2605,-866
31124,300,-441,-717
31124,720,-450,-1339
31124,1500,-1192,-5305
31125,300,-52,-1032
31125,720,1881,25
31125,1500,-5019,-11566
31126,300,399,257
31126,720,1269,805
31126,1500,21864,20889
31127,300,438,-452
31127,720,6186,5834
31127,1500,16873,17251
31128,300,391,308
31128,720,117,264
31128,1500,769,4108
31129,300,-689,913
31129,720,-2311,198
31129,1500,-4250,-3664
31130,300,950,712
31130,720,1137,946
31130,1500,12101,11483
31131,300,105,395
31131,720,-3321,-2772
31131,1500,-9452,-5944
31132,300,144,-65
31132,720,734,-369
31132,1500,-6221,-8389
31133,300,324,-1135
31133,720,-740,-1610
31133,1500,6848,3765
31134,300,-1658,-446
31134,720,-3136,-2334
31134,1500,-2578,-867
31135,300,-678,-1012
31135,720,-2799,-3920
31135,1500,-15366,-16018
31136,300,-718,-337
31136,720,-1780,-448
31136,1500,6607,11267
31137,300,15,53
31137,720,-3919,-2426
31137,1500,-3368,-5319
31138,300,-2208,-807
31138,720,-5939,-4712
31138,1500,-12175,-8556
31139,300,-590,-359
31139,720,-147,-1221
31139,1500,2500,-1550
31140,300,-1549,-597
31140,720,-1494,-1613
31140,1500,6071,7439
31141,300,-1523,-1018
31141,720,-4330,-1593
31141,1500,285,798
31142,300,1739,974
31142,720,6189,2740
31142,1500,24229,9378
31143,300,665,-285
31143,720,1904,925
31143,1500,-1731,-488
31144,300,-566,-964
31144,720,-1284,-3233
31144,1500,-2183,-6858
31145,300,-2157,-366
31145,720,-4562,-3240
31145,1500,-13139,-7234
31146,300,48,93
31146,720,2368,1848
31146,1500,344,-1244
31147,300,362,161
31147,720,645,2035
31147,1500,4147,5375
31148,300,742,253
31148,720,859,-2151
31148,1500,-9828,-10941
31149,300,1172,-460
31149,720,2766,1634
31149,1500,4833,6871
31150,300,1746,963
31150,720,2770,2804
31150,1500,9059,13961
31151,300,1200,604
31151,720,2390,3018
31151,1500,7012,9345
31152,300,-965,-227
31152,720,-4549,-3317
31152,1500,-12854,-14040
31153,300,-1165,-1192
31153,720,-4693,-1694
31153,1500,-14286,-9226
31154,300,-887,-1695
31154,720,-1689,47
31154,1500,352,3450
31155,300,-617,-53
31155,720,-639,60
31155,1500,3035,10592
31156,300,-154,307
31156,720,20,1461
31156,1500,-8467,-5427
31157,300,242,332
31157,720,2707,4798
31157,1500,2107,10136
31158,300,995,632
31158,720,2518,2539
31158,1500,2964,1933
31159,300,279,1071
31159,720,3276,3876
31159,1500,3171,4298
31160,300,2136,1564
31160,720,736,662
31160,1500,-11528,-11995
31161,300,-958,-1408
31161,720,245,1128
31161,1500,10890,9007
31162,300,-1249,-3039
31162,720,-2655,-2275
31162,1500,-1917,-7100
31163,300,392,577
31163,720,411,-335
31163,1500,-3268,-5813
31164,300,104,192
31164,720,349,1440
31164,1500,1348,368
31165,300,-6,-147
31165,720,-1833,-2747
31165,1500,-5494,-7565
31166,300,805,1055
31166,720,2095,2622
31166,1500,4158,3828
31167,300,533,-1051
31167,720,-794,-1017
31167,1500,5053,2170
31168,300,918,-892
31168,720,-571,-3846
31168,1500,6267,5208
31169,300,541,399
31169,720,5158,4168
31169,1500,-2603,-4144
31170,300,944,209
31170,720,-698,-671
31170,1500,-6168,-6392
31171,300,1311,588
31171,720,2199,2253
31171,1500,11203,14275
31172,300,-1931,-814
31172,720,-1278,2281
31172,1500,31135,22147
31173,300,424,768
31173,720,-1869,539
31173,1500,-7325,-7912
31174,300,-1441,-871
31174,720,-445,-4014
31174,1500,5812,-814
31175,300,2091,386
31175,720,-440,-1480
31175,1500,-12399,-15117
31176,300,1473,545
31176,720,2595,548
31176,1500,653,-2032
31177,300,-245,-48
31177,720,-1626,-766
31177,1500,-14728,-12876
31178,300,-272,-598
31178,720,295,-184
31178,1500,-3478,-7647
31179,300,975,850
31179,720,3383,4229
31179,1500,33399,28414
31180,300,-447,-381
31180,720,-185,-736
31180,1500,779,-3731
31181,300,-76,-1496
31181,720,-1036,-1418
31181,1500,-4210,-1864
31182,300,-518,-1213
31182,720,1841,1804
31182,1500,10873,13864
31183,300,525,1471
31183,720,3666,5397
31183,1500,6575,10318
31184,300,-548,-845
31184,720,-1679,-1438
31184,1500,-4610,-9135
31185,300,-407,551
31185,720,-375,1857
31185,1500,1815,4490
31186,300,557,364
31186,720,484,711
31186,1500,2984,3608
31187,300,-599,-282
31187,720,-247,862
31187,1500,22706,25912
31188,300,255,448
31188,720,-2258,-2950
31188,1500,-5774,-8125
31189,300,405,858
31189,720,828,-1054
31189,1500,3958,4980
31190,300,-1163,-1299
31190,720,2679,4337
31190,1500,11020,18952
31191,300,1333,437
31191,720,1649,534
31191,1500,1935,1032
31192,300,-1757,-24
31192,720,-3538,-2829
31192,1500,-6324,-6397
31193,300,304,143
31193,720,3830,1357
31193,1500,6129,9778
31194,300,-924,-632
31194,720,181,-418
31194,1500,18926,21313
31195,300,-726,-193
31195,720,-817,1097
31195,1500,3371,8630
31196,300,-800,-118
31196,720,-2940,-1668
31196,1500,308,5648
31197,300,289,-276
31197,720,5401,3240
31197,1500,20002,19459
31198,300,-1294,-1739
31198,720,-4096,-4253
31198,1500,-3946,-6265
31199,300,-1497,-1362
31199,720,-2066,-2396
31199,1500,-14498,-13432
31200,300,96,627
31200,720,-1274,555
31200,1500,-6622,-11365
31201,300,-1610,-263
31201,720,-880,1319
31201,1500,764,3614
31202,300,-1509,-1425
31202,720,-1843,-2155
31202,1500,2251,1924
31203,300,1203,1087
31203,720,4731,4658
31203,1500,19847,16193
31204,300,265,1617
31204,720,3453,3556
31204,1500,11750,8962
31205,300,-969,-1251
31205,720,-2835,-2019
31205,1500,-205,4696
31206,300,2068,675
31206,720,820,-1287
31206,1500,939,1647
31207,300,269,-391
31207,720,944,424
31207,1500,8121,14170
31208,300,-357,-1188
31208,720,270,-1673
31208,1500,-10525,-10709
31209,300,7,122
31209,720,-475,151
31209,1500,-378,952
31210,300,200,-169
31210,720,-1485,-3875
31210,1500,-2787,-3290
31211,300,-2111,-1528
31211,720,-3856,-4171
31211,1500,-6598,-1315
31212,300,21,-447
31212,720,-18,172
31212,1500,-1012,-3831
31213,300,-1001,-226
31213,720,-4277,-5033
31214,300,24,-548
31214,720,-1238,-3325
31214,1500,2082,5289
31215,300,1021,862
31215,720,-3640,-4393
31215,1500,-16114,-23180
31216,300,-159,-422
31216,720,-2790,-3678
31216,1500,-24288,-19509
