match_id,times,rad_gold_adv,rad_xp_adv
40954,720,568,132
40954,1500,4412,-5217
40955,300,416,-420
40955,720,-775,-1409
40955,1500,665,-2882
40956,300,1087,548
40956,720,5812,175
40956,1500,6420,-312
40957,300,-308,385
40957,720,-1076,985
40957,1500,1119,6964
40958,300,1134,496
40958,720,1788,446
40958,1500,-2952,-10843
40959,300,1571,6106
40960,300,773,-83
40960,720,-748,-47
40960,1500,13501,9847
40961,300,833,528
40961,720,-1321,-1667
40961,1500,-828,-3501
40962,300,310,-155
40962,720,-715,-361
40962,1500,-22496,-22102
40963,300,-877,-1326
40963,720,-1543,-1540
40963,1500,-4601,-5989
40964,300,1275,206
40964,720,6156,3311
40964,1500,16306,15449
40965,300,-2938,-2044
40965,720,-4062,-4127
40965,1500,-5338,-2525
40966,300,-1205,-1478
40966,720,-1281,-1474
40966,1500,-3617,-8003
40967,300,1386,434
40967,720,2292,2165
40967,1500,3079,6333
40968,300,101,-374
40968,720,-2413,-2413
40968,1500,-5677,-9700
40969,300,-2120,-395
40969,720,-6257,-2546
40969,1500,-2190,-1344
40970,300,-1098,-1294
40970,720,-5067,-4601
40970,1500,-8444,-7914
40971,300,308,-235
40971,720,-837,-170
40971,1500,9787,8047
40972,300,541,424
40972,720,641,247
40972,1500,-661,-4747
40973,300,351,283
40973,720,-2023,-3026
40973,1500,-4570,-4314
40974,300,457,-186
40974,720,1181,22
40974,1500,1450,-1817
40975,300,-1679,-1440
40975,720,-3327,-1972
40975,1500,-5483,-5735
40976,300,519,168
40976,720,3138,3157
40976,1500,13524,21489
40977,300,140,0
40977,720,-755,-1630
40977,1500,-3569,-8750
40978,300,-248,-54
40978,720,-2604,-1603
40978,1500,-1300,36
40979,300,-884,-842
40979,720,610,1195
40979,1500,3828,9846
40980,300,1781,1142
40980,720,-110,-93
40980,1500,6413,3125
40981,300,-915,-850
40981,720,-2061,-1047
40981,1500,-8246,-4460
40982,300,-662,-732
40982,720,354,1373
40982,1500,5310,9788
40983,300,-619,-1593
40983,720,-7480,-8529
40983,1500,-2909,-4546
40984,300,-662,514
40984,720,-1514,-99
40984,1500,6319,8523
40985,300,-24,-92
40985,720,-584,-13
40985,1500,-12484,-13618
40986,300,1614,1134
40986,720,3481,3223
40986,1500,17199,15668
40987,300,551,567
40987,720,3757,1180
40987,1500,255,1208
40988,300,49,943
40988,720,3886,3777
40988,1500,14349,13032
40989,300,-81,-463
40989,720,1704,2498
40989,1500,6388,15739
40990,300,671,357
40990,720,762,975
40990,1500,-3313,-5434
40991,300,-2671,-2264
40991,720,-11794,-9454
40992,300,-1272,-1173
40992,720,-7124,-5522
40992,1500,-25502,-29983
40993,300,-682,2635
40994,300,1624,1114
40994,720,1626,751
40994,1500,8503,8629
40995,300,-1305,174
40995,720,213,1802
40995,1500,390,-130
40996,300,-1242,-752
40996,720,1734,669
40997,300,806,-171
40997,720,-2593,-3460
40997,1500,6702,9729
40998,300,315,1898
40998,720,3246,5848
40998,1500,4761,4247
40999,300,1039,1240
40999,720,3845,5185
40999,1500,14847,14290
41000,300,223,1125
41000,720,657,1573
41000,1500,5300,8015
41001,300,-1162,-827
41001,720,-3335,-1213
41001,1500,-6651,-9092
41002,300,417,492
41002,720,-1963,-1327
41002,1500,-7082,-4187
41003,300,-682,-522
41003,720,-1180,71
41003,1500,-883,214
41004,300,-360,-101
41004,720,-60,285
41004,1500,6233,4879
41005,300,1978,1214
41005,720,4719,3220
41005,1500,4628,2546
41006,300,601,382
41006,720,-2369,-4095
41006,1500,-14784,-19316
41007,300,-2597,-1733
41007,720,-4815,-2649
41007,1500,-6297,-6737
41008,300,8,-48
41008,720,3872,4779
41008,1500,12137,13402
41009,300,-1183,-1531
41009,720,-3423,-6855
41009,1500,-15595,-22292
41010,300,-217,496
41010,720,-2057,-1318
41010,1500,-3697,-311
41011,300,481,73
41011,720,331,2784
41011,1500,4664,12190
41012,300,192,0
41012,720,1198,-339
41012,1500,5361,-2235
41013,300,573,809
41013,720,-177,-244
41013,1500,-894,-3301
41014,300,-1123,-356
41014,720,-1191,-1053
41014,1500,793,8801
41015,300,1218,1165
41015,720,839,-1018
41015,1500,-5045,-8636
41016,300,-2010,-1330
41016,720,-7121,-2749
41016,1500,-10294,-7361
41017,300,563,-483
41017,720,2332,-107
41017,1500,7777,5150
41018,300,-41,-916
41018,720,-89,-1553
41018,1500,2894,3017
41019,300,-513,-619
41019,720,1241,1210
41019,1500,18061,18514
41020,300,-3590,-2758
41020,720,-8941,-6988
41020,1500,-23009,-16175
41021,300,-51,771
41021,720,796,3174
41021,1500,-1351,-401
41022,300,1293,283
41022,720,5558,3733
41022,1500,22383,15937
41023,300,550,173
41023,720,2423,2344
41023,1500,17452,11022
41024,300,-1996,-2100
41024,720,-5777,-6044
41025,300,245,-283
41025,720,753,-378
41025,1500,-1518,-5877
41026,300,506,1273
41026,720,-381,1758
41026,1500,11420,15472
41027,300,167,186
41027,720,1274,1129
41027,1500,-3473,-4649
41028,300,-442,-903
41028,720,-1817,-2625
41028,1500,-10882,-16338
41030,300,-991,-2579
41030,720,-999,-1668
