match_id,times,rad_gold_adv,rad_xp_adv
158,300,-564,-1142
158,720,494,-305
158,1500,-5474,-7473
159,300,1960,15
159,720,2839,414
159,1500,11998,11169
160,300,-644,-721
160,720,1003,-1152
160,1500,1152,1743
161,300,-113,-346
161,720,-1793,-3063
161,1500,-6492,-11550
162,300,-829,-945
162,720,-857,-1834
162,1500,5697,6250
163,300,1254,-889
163,720,3048,644
163,1500,8325,-1023
164,300,-1323,-792
164,720,-4121,-3452
164,1500,-13209,-13547
165,300,-597,-347
165,720,-2540,-2342
165,1500,-7944,-11693
166,300,-867,-949
166,720,-523,-1177
166,1500,-136,-2874
167,300,-1581,-133
167,720,-2327,628
167,1500,-9722,-5178
168,300,-771,-585
168,720,1336,728
168,1500,2293,-2892
169,300,-1852,-1317
169,720,1602,320
169,1500,28221,21620
170,300,-983,389
170,720,392,4194
170,1500,1336,8137
171,300,1044,1049
171,720,1258,1677
171,1500,114,-2843
172,300,1288,1361
172,720,2714,2762
172,1500,2520,-2483
173,300,463,558
173,720,1586,1426
173,1500,8144,6847
174,300,-861,-1606
174,720,2977,2611
174,1500,4951,6004
175,300,-1218,-644
175,720,-1051,-145
175,1500,-12772,-11415
176,300,-1250,-1461
176,720,-4322,-3888
176,1500,-15057,-17024
177,300,749,637
177,720,3254,4180
177,1500,10565,15498
178,300,-1082,-1686
178,720,-944,-3155
178,1500,109,-7266
179,300,-2126,-1202
179,720,-3883,-3930
179,1500,-4409,-1161
180,300,549,323
180,720,-683,-1553
180,1500,-3056,-5573
181,300,480,443
181,720,2173,1325
181,1500,7731,9251
182,300,1718,-207
182,720,4305,2802
182,1500,13938,15187
183,300,1341,1329
183,720,185,-1498
183,1500,4372,1421
184,300,-2018,-208
184,720,-3446,-4830
184,1500,-5128,-2531
185,300,1998,2061
185,720,4852,5178
185,1500,-1263,-4815
186,300,-389,-798
186,720,-1604,-3050
186,1500,-7415,-13786
187,300,2267,1252
187,720,9284,5831
187,1500,5753,-3934
188,300,1213,1187
188,720,8377,7433
188,1500,23024,17437
189,300,-933,-1173
189,720,-2222,-3195
189,1500,-9444,-14680
190,300,1985,2112
190,720,2880,3992
190,1500,-1496,-2757
191,300,-1532,-952
191,720,-62,670
191,1500,3852,6195
192,300,-1372,-423
192,720,459,2709
192,1500,-3244,436
193,300,-834,-410
193,720,-2856,-2770
193,1500,-8038,-5368
