match_id,times,tot_gold_rad,tot_gold_dire,tot_xp_rad,tot_xp_dire
75,1500,41044,37230,45229,38152
76,300,3803,5369,4913,5584
76,720,12258,17316,14290,17487
76,1500,40857,37170,44965,39270
77,300,5380,5546,6024,5608
77,720,13253,15959,13954,17049
77,1500,39615,39511,47637,41745
78,300,6289,6580,6851,6690
78,720,16717,15528,19019,15988
78,1500,40263,39486,46933,44384
79,300,5709,5924,7199,6841
79,720,16468,18523,19517,20072
79,1500,47522,44580,56993,48780
80,300,5560,5478,6040,6361
80,720,15460,15834,18388,18287
80,1500,41845,42205,49603,50659
81,300,6002,4329,6528,4854
81,720,17632,14831,19274,16388
81,1500,40969,37276,49003,39579
82,300,5748,5450,6665,6310
82,720,17026,15249,17549,17260
82,1500,42703,40781,47108,45755
83,300,5419,6544,6285,6421
83,720,14879,19627,16625,17928
83,1500,40620,54663,41963,52160
84,300,6461,7227,7325,7470
84,720,17350,21323,19113,20504
84,1500,52913,49472,57723,50081
85,300,5012,5860,5210,6542
85,720,14587,19542,16185,20720
85,1500,38796,47432,45972,53265
86,300,7395,5625,7618,6373
86,720,23727,12841,21172,14179
86,1500,77537,34274,64563,38871
87,300,4781,5430,5596,6331
87,720,14075,14743,15712,16577
87,1500,43010,33466,48363,36540
88,300,5536,5778,5884,6441
88,720,13710,15819,14748,16511
88,1500,33841,38918,35837,42007
89,300,5866,4418,5963,4706
89,720,16370,13311,16829,14076
89,1500,38661,36268,42938,42332
90,300,6518,5953,7154,7197
90,720,16352,17264,18882,20103
90,1500,43628,47192,50343,58048
91,300,5409,5287,6196,5954
91,720,14281,14703,15336,15790
91,1500,34610,40225,37630,44044
92,300,7226,6278,6993,6572
92,720,18726,17750,19306,17437
92,1500,43291,44921,45578,50519
93,300,5784,5752,6167,6429
93,720,15046,14016,16686,15813
93,1500,39831,44020,45710,51145
94,300,6996,5903,6572,6229
94,720,19828,17804,18498,17992
94,1500,45550,44493,46641,50568
95,300,5738,6890,6290,7578
95,720,17167,22432,17851,22570
95,1500,42632,55139,45468,58298
96,300,6400,5453,7312,5757
96,720,19731,14843,20508,14986
96,1500,47073,39440,54995,43052
97,300,5610,4015,6848,4955
97,720,17416,11757,18614,13160
97,1500,43008,32389,45011,38008
98,300,6115,5095,7117,5683
98,720,15751,16795,17369,16691
98,1500,35236,53095,35980,47067
99,300,5405,5145,6288,6137
99,720,16321,13732,19502,15343
99,1500,65327,32208,57186,34232
100,300,6277,5297,6537,6009
100,720,17187,14974,18718,16844
100,1500,41549,48488,45284,55182
101,300,5173,6171,6509,6078
101,720,14133,15825,16503,17199
101,1500,39194,43587,44901,53228
102,300,5709,6342,5124,6615
102,720,14376,16701,14706,16625
102,1500,43028,40680,48551,43429
103,300,6732,6573,5727,7359
103,720,16311,17117,14750,19204
103,1500,43515,44918,42263,51749
104,300,5417,7017,5341,7354
104,720,16789,20830,17918,20089
104,1500,40470,44900,45311,50628
105,300,5669,5007,6365,5715
105,720,17539,14008,18854,15441
105,1500,59373,28418,57091,26793
106,300,6026,4366,6998,5652
106,720,13629,11521,15242,14210
106,1500,34768,33181,39332,40483
107,300,6885,5251,6579,5699
107,720,22580,13605,21545,14646
107,1500,52601,44604,51602,53336
108,300,6844,6897,6988,6769
108,720,19823,18975,19008,18180
108,1500,50486,42885,47711,38152
109,300,6657,5310,5473,5750
109,720,21093,15772,19237,16447
109,1500,64408,41127,54985,42074
110,300,5835,7107,5554,5795
110,720,16869,17395,15902,17268
110,1500,38608,43149,40323,44888
111,300,4573,5476,5967,6184
111,720,13987,16702,16295,17304
111,1500,39585,42669,44023,49647
112,300,5749,6081,5480,6361
112,720,17022,15987,17075,17308
112,1500,48037,48437,46568,54681
113,300,5053,5516,5144,6097
113,720,12300,13469,14122,15788
113,1500,30234,43359,32947,49624
114,300,5794,6353,5196,6484
114,720,14427,15843,15150,16272
114,1500,37814,41498,41947,45267
115,300,4918,5208,5145,5440
115,720,14427,14344,16055,16305
115,1500,42803,37539,48701,43061
116,300,4916,5350,6550,6849
116,720,14149,13394,17827,15101
116,1500,38250,40505,50250,41802
117,300,6573,4765,5121,5003
117,720,17523,14731,14596,13665
117,1500,42040,37549,39105,35897
118,300,5025,5897,5370,6237
118,720,15768,17107,16581,17237
118,1500,39281,41514,40579,46681
119,300,5485,6483,5616,7481
119,720,15728,17857,17108,19406
119,1500,41497,45191,47369,50336
120,300,5803,5747,5566,5959
120,720,16702,19214,16754,17854
120,1500,46829,56209,47747,54552
121,300,4602,6598,5183,5996
121,720,14508,16483,16650,15906
121,1500,39828,45017,46156,48605
122,300,4787,5079,6069,5982
122,720,14090,15549,17020,18302
122,1500,43814,38081,53893,43731
123,300,4852,5670,5807,6085
123,720,15631,15465,17440,16259
123,1500,43234,43116,48272,46036
124,300,6830,4819,6204,4650
124,720,16718,13290,17000,13757
124,1500,50674,34098,46954,32142
125,300,5598,5307,5834,5068
125,720,15592,14652,17068,15675
125,1500,41229,39116,46941,45024
126,300,5550,6041,5586,6711
126,720,19382,18169,18890,20646
126,1500,38882,47481,39411,52430
127,300,5837,5678,5916,6099
127,720,15880,13623,17796,15375
127,1500,33106,47197,35068,58274
128,300,6620,6295,7363,6460
128,720,18786,17273,19764,17970
128,1500,49963,40082,54384,41321
129,300,4729,5541,5661,6995
