match_id,times,rad_gold_adv,rad_xp_adv
20713,720,-1202,-585
20713,1500,-3493,-1880
20714,300,48,53
20714,720,2866,2414
20714,1500,1504,-1303
20715,300,-1527,-1105
20715,720,268,-46
20715,1500,1038,-117
20716,300,-70,-340
20716,720,2986,2682
20716,1500,9829,13309
20717,300,-1103,-2092
20717,720,-5364,-3487
20717,1500,-4099,666
20718,300,-1509,-1237
20718,720,-627,1505
20718,1500,-5953,-8405
20719,300,950,169
20719,720,729,-773
20719,1500,-1647,-7485
20720,300,935,1786
20720,720,5004,6916
20720,1500,-2562,-1250
20721,300,35,-859
20721,720,863,-777
20721,1500,-8560,-12161
20722,300,452,748
20722,720,3489,2625
20722,1500,13577,12747
20723,300,-402,-900
20723,720,-3921,-3154
20723,1500,-3035,-4254
20724,300,3157,2012
20724,720,3789,4306
20724,1500,5299,4668
20725,300,-435,454
20725,720,-2335,-1730
20725,1500,1546,241
20726,300,39,-1155
20726,720,1185,-249
20726,1500,-4278,-10863
20727,300,1157,1538
20727,720,-220,1288
20727,1500,5743,7200
20728,300,-262,-192
20728,720,-1630,-2695
20728,1500,1655,1056
20729,300,661,-354
20729,720,501,-647
20729,1500,4604,7432
20730,300,-192,-754
20730,720,-1499,-805
20730,1500,-4820,-1099
20731,300,-1500,-806
20731,720,-8380,-5634
20731,1500,-35740,-22985
20732,300,2119,835
20732,720,2752,221
20732,1500,-4033,-13771
20733,300,-751,-101
20733,720,-2323,-1300
20733,1500,-8539,-7646
20734,300,1874,492
20734,720,4744,2820
20734,1500,24231,21347
20735,300,1061,1352
20735,720,1277,791
20735,1500,13269,19444
20736,300,1013,623
20736,720,1150,1562
20736,1500,14941,20778
20737,300,327,142
20737,720,1849,2743
20737,1500,-707,1451
20738,300,701,958
20738,720,1755,2218
20738,1500,1207,4
20739,300,1932,-304
20739,720,2528,-531
20739,1500,-873,-6814
20740,300,2325,2586
20740,720,10264,9377
20740,1500,25346,21265
20741,300,-1675,-1066
20741,720,1826,3591
20741,1500,-7824,-6337
20742,300,-960,-1146
20742,720,-6003,-5313
20742,1500,-9915,-9571
20743,300,-487,-575
20743,720,-3531,-2772
20743,1500,-22607,-10150
20744,300,-22,167
20744,720,-3872,-3659
20744,1500,-2201,-3969
20745,300,658,37
20745,720,1702,1437
20745,1500,16337,18915
20746,300,-1116,-286
20746,720,-3714,-2897
20746,1500,727,3448
20747,300,252,-724
20747,720,1382,-1410
20747,1500,-642,-4086
20748,300,147,83
20748,720,2012,329
20748,1500,11708,9571
20749,300,1698,907
20749,720,2907,1481
20749,1500,7619,8269
20750,300,-1921,-1152
20750,720,-1407,-253
20750,1500,-16344,-14530
20751,300,-1509,-1691
20751,720,-2167,-5597
20751,1500,-8121,-9507
20752,300,1464,747
20752,720,2215,1834
20752,1500,1533,5088
20753,300,801,-1014
20753,720,1321,-953
20753,1500,4848,-1737
20754,300,978,35
20754,720,4426,3723
20754,1500,12458,12961
20755,300,1070,176
20755,720,7816,9846
20755,1500,15191,18538
20756,300,232,526
20756,720,3972,7528
20756,1500,17612,23250
20757,300,-3160,-1264
20757,720,-8245,-4258
20757,1500,390,4982
20758,300,-1177,-1345
20758,720,-1921,-3545
20758,1500,5157,4342
20759,300,-1185,-627
20759,720,-1974,-887
20759,1500,2365,4146
20760,300,-2613,-1660
20760,720,-6430,-5805
20760,1500,-8150,-6967
20761,300,1078,-203
20761,720,-1066,-2425
20761,1500,-10229,-8220
20762,300,-44,-165
20762,720,-64,1399
20762,1500,4457,6683
20763,300,869,1026
20763,720,-1987,-1319
20763,1500,3696,3556
20764,300,1529,-78
20764,720,1344,-920
20764,1500,6211,-489
20765,300,-2062,-1845
20765,720,-2528,-2769
20765,1500,-8664,-14868
20766,300,-234,657
20766,720,-4441,-4032
20766,1500,-16029,-21099
20767,300,782,1527
20767,720,5295,3398
20767,1500,3721,1684
20768,300,2984,1799
20768,720,4833,2626
20768,1500,17410,13846
20769,300,722,-184
20769,720,-314,-630
20769,1500,-4918,-8791
20770,300,891,-33
20770,720,-3224,-2617
20770,1500,1058,-6961
20771,300,-950,-174
20771,720,-2495,61
20771,1500,-5584,-5107
20772,300,-1057,-1223
20772,720,-1830,-1280
20772,1500,-11954,-10671
20773,300,446,-650
20773,720,-1711,-3378
20773,1500,-481,-998
20774,300,-21,-791
20774,720,912,750
20774,1500,-4224,-9654
20775,300,-524,-1881
20775,720,-3250,-5502
20775,1500,-13298,-19406
20776,300,1117,1428
20776,720,7718,5909
20776,1500,15427,12137
20777,300,154,695
20777,720,-1006,-1111
20777,1500,-536,-278
20778,300,3007,2667
20778,720,10087,7190
20778,1500,19096,18648
20779,300,1495,721
20779,720,3268,1450
20779,1500,9026,6692
20780,300,738,245
20780,720,-61,-1154
20780,1500,-7667,-13203
20781,300,-2557,-1636
20781,720,-4302,-1767
20781,1500,-8744,-7784
20782,300,-3065,-1714
20782,720,-5393,-3413
20782,1500,-13628,-16430
20783,300,31,-157
20783,720,-541,-1186
20783,1500,295,311
20784,300,-693,-1452
20784,720,-237,-1808
20784,1500,4629,2312
20785,300,-888,-405
20785,720,-463,1879
20785,1500,9320,11382
20786,300,9,866
20786,720,1180,1136
20786,1500,-2710,-4660
20787,300,691,48
20787,720,998,2446
20787,1500,18166,16002
20788,300,721,1491
20788,720,3877,6003
20788,1500,9932,15575
20789,300,-1130,-1082
20789,720,-303,849
20789,1500,-196,-3623
20790,300,-557,272
20790,720,-436,714
20790,1500,-11039,-11946
20791,300,-26,17
20791,720,-1424,-229
20791,1500,-7962,-4220
20792,300,-320,851
20792,720,2505,1958
20792,1500,391,3682
20793,300,-706,-791
20793,720,-1297,-2590
20793,1500,-312,4539
20794,300,-1768,-2165
20794,720,-7473,-6912
20794,1500,-12263,-13073
20795,300,1173,392
20795,720,3424,3451
20795,1500,14741,19481
20796,300,-3143,-2452
20796,720,-6484,-3617
20797,300,679,-223
20797,720,372,305
20797,1500,-323,4295
20798,300,64,187
20798,720,2160,1385
20798,1500,12998,18658
20799,300,-513,86
20799,720,-3288,-2005
20799,1500,-11817,-11181
20800,300,507,-464
20800,720,-493,-2430
20800,1500,-2991,-3515
20801,300,258,150
20801,720,4122,4001
20801,1500,2181,3859
20802,300,-1609,-1222
20802,720,1139,1122
20802,1500,3208,6793
20803,300,472,-978
20803,720,706,-832
20803,1500,-2935,-3974
20804,300,6135,5258
20804,720,17498,12851
20805,300,-778,-963
20805,720,-3773,-4840
20805,1500,-15362,-10463
20806,300,-1452,-1996
20806,720,-7618,-6423
20806,1500,-5763,-5739
