match_id,times,tot_gold_rad,tot_gold_dire,tot_xp_rad,tot_xp_dire
10661,300,5870,6070,6164,6701
10661,720,15837,15470,16489,16188
10661,1500,41360,42130,50655,45586
10662,300,6827,5185,7413,6015
10662,720,18513,16992,18776,18529
10662,1500,52398,39860,62653,45950
10663,300,4590,5942,5928,6557
10663,720,13187,14923,15853,17087
10663,1500,37879,42016,43540,47306
10664,300,6229,6053,6521,7709
10664,720,15293,16524,17168,19323
10664,1500,40786,46148,47318,53455
10665,300,6298,6999,6610,6256
10665,720,18817,19624,20260,18882
10665,1500,47036,51802,54761,54277
10666,300,5243,6366,6552,6646
10666,720,14438,18024,17130,17414
10666,1500,30096,52058,29994,53402
10667,300,5035,5978,5679,5978
10667,720,15394,16554,17607,17295
10667,1500,41200,39495,49143,41745
10668,300,5223,5023,5899,6601
10668,720,13876,15340,14868,18513
10668,1500,36737,46761,40013,54226
10669,300,5654,5818,5734,6774
10669,720,15274,18982,15523,19910
10669,1500,43298,44755,46904,49059
10670,300,5475,5782,5946,6067
10670,720,16777,17235,18324,19626
10670,1500,43569,39467,51037,43871
10671,300,5001,8344,5647,7838
10671,720,15856,20898,15702,19414
10671,1500,41892,53246,43575,55570
10672,300,5617,6370,6235,6276
10672,720,16339,17214,17723,16457
10672,1500,42209,49092,47461,46651
10673,300,4644,6042,5439,6399
10673,720,14731,14175,15802,15503
10673,1500,40008,41557,46019,50642
10674,300,4945,6369,6229,7039
10674,720,14693,17704,16453,19750
10674,1500,39969,39367,44202,43840
10675,300,6593,5223,6019,6440
10675,720,15128,16901,14186,17085
10675,1500,41758,39037,40914,42257
10676,300,4261,6106,6303,7621
10676,720,11804,17390,16362,22085
10676,1500,34904,50776,42616,59001
10677,300,5484,6502,5342,6557
10677,720,16105,19860,16164,18448
10677,1500,35005,45978,34905,43508
10678,300,6614,4568,7703,4355
10678,720,18656,14959,19899,15138
10678,1500,50161,40027,56737,43111
10679,300,5339,4849,5770,5390
10679,720,16039,15244,17891,16255
10679,1500,42728,36330,47627,39801
10680,300,6241,5049,6711,5955
10680,720,15250,15599,15753,17565
10680,1500,38179,41290,43858,50938
10681,300,4840,5664,5791,6061
10681,720,12963,18033,14094,18152
10681,1500,33426,46710,33384,42515
10682,300,5683,7048,6639,6291
10682,720,18600,17788,20369,17041
10682,1500,46262,50368,51691,58664
10683,300,6132,4839,6351,5715
10683,720,14922,17882,15010,16377
10683,1500,36905,37631,40229,39343
10684,300,6520,5975,7286,7201
10684,720,18595,15640,20251,19407
10684,1500,44438,44698,48962,51638
10685,300,4478,5321,6107,6375
10685,720,13623,13332,16225,15380
10685,1500,42842,31969,52616,35355
10686,300,4876,5770,5477,5347
10686,720,15121,16316,16359,14611
10686,1500,39921,42600,43875,41091
10687,300,6174,5414,6994,5605
10687,720,16644,14307,19204,15387
10687,1500,40621,32973,45496,32947
10688,300,4897,5838,6006,6212
10688,720,15166,17230,15380,17943
10688,1500,38851,40632,40662,46252
10689,300,3675,5132,3855,6492
