match_id,times,tot_gold_rad,tot_gold_dire,tot_xp_rad,tot_xp_dire
31082,1500,45856,42158,43222,45118
31083,300,4491,5652,5454,6092
31083,720,15970,14380,15942,15540
31083,1500,39160,41097,44475,45786
31084,300,4948,5249,6300,6746
31084,720,14585,15600,16177,17395
31084,1500,40386,40536,47663,48393
31085,300,6177,5288,6258,5635
31085,720,15017,14968,14312,15896
31085,1500,37745,39128,38110,40375
31086,300,6504,6615,6424,6268
31086,720,18270,18252,17821,16225
31086,1500,48145,43976,53926,42904
31087,300,6286,5740,6617,6546
31087,720,18556,16806,16558,18564
31087,1500,44574,46903,39013,50076
31088,300,5120,5441,5458,5861
31088,720,16937,15858,17063,17684
31088,1500,56882,33267,58674,33989
31089,300,6999,5187,6981,6269
31089,720,24770,15163,24698,16929
31089,1500,73965,40891,66551,44546
31090,300,5902,6435,6033,5644
31090,720,17229,14954,19169,15081
31090,1500,51584,34933,55451,35047
31091,300,4723,5041,6216,5847
31091,720,16821,13030,18441,13918
31091,1500,43614,32156,48761,33954
31092,300,4893,5339,6301,7049
31092,720,11968,15605,14641,18495
31092,1500,33418,41693,38560,48476
31093,300,4111,5645,4673,5232
31093,720,13078,15725,14769,15127
31093,1500,37729,40079,43546,44060
31094,300,4643,5578,5991,6372
31094,720,14598,15316,17481,16498
31094,1500,43707,40130,55898,45039
31095,300,4533,6111,6251,6609
31095,720,14948,16849,17080,17407
31095,1500,33403,53987,37164,57925
31096,300,4914,4938,4544,5294
31096,720,16619,14998,15438,14579
31096,1500,41607,38328,47129,41550
31097,300,5299,5156,6265,6689
31097,720,15604,14216,17610,17572
31097,1500,43339,38404,47887,40990
31098,300,4985,6922,6611,6751
31098,720,16193,18915,18003,18617
31098,1500,43514,43439,48734,47616
31099,300,4459,5043,5260,6134
31099,720,12957,16590,13787,18791
31099,1500,34773,37514,40084,40378
31100,300,5243,6781,6326,6693
31100,720,15472,20090,16027,18567
31100,1500,42737,49428,50367,57701
31101,300,5490,6113,5576,6716
31101,720,14863,15995,15987,16894
31101,1500,37278,40097,44175,45815
31102,300,5682,5321,6023,6320
31102,720,16589,14763,17278,15753
31102,1500,42658,33829,47098,35061
31103,300,6204,5584,7377,6358
31103,720,17838,17447,19674,20802
31103,1500,41991,47797,50094,58395
31104,300,6279,5774,6873,6682
31104,720,18073,17348,17283,18229
31104,1500,48373,43870,52267,53205
31105,300,5201,4971,5220,6077
31105,720,16574,14859,15503,16520
31105,1500,43284,36335,44486,39442
31106,300,6595,5223,6705,6653
31106,720,19044,15985,19860,17635
31106,1500,46052,39469,50181,45240
31107,300,5207,6754,6120,6482
31107,720,16044,18863,18383,18180
31107,1500,40967,50306,45101,47377
31108,300,6814,6481,6516,6234
31108,720,18024,17278,15935,15307
31108,1500,44011,39001,42591,40181
31109,300,4195,6920,4416,7089
31109,720,16115,19560,16393,18815
31109,1500,41110,46516,43155,47556
31110,300,5344,5399,6032,6133
31110,720,13696,14495,15249,16322
31110,1500,39621,57474,41695,55745
31111,300,4452,4465,5739,5893
31111,720,12960,12982,15958,14165
31111,1500,35721,35590,39126,39090
31112,300,4486,6129,5374,6416
31112,720,14027,16212,16316,16976
31112,1500,44767,43434,47734,47025
31113,300,6238,6400,6615,7383
31113,720,16538,17039,16777,19817
31113,1500,42518,42423,46668,48268
31114,300,5245,5253,6029,6375
31114,720,13820,15078,15075,16162
31114,1500,45072,40990,49461,44127
31115,300,6563,7712,6441,7299
31115,720,18235,16748,17379,16522
31115,1500,42992,38798,45103,41729
31116,300,4410,5597,5543,6310
31116,720,12221,14267,14108,13899
31116,1500,30254,38261,34940,44721
31117,300,6559,6014,6579,5724
31117,720,17335,16857,16235,16432
31117,1500,41297,44711,41532,41196
31118,300,5732,5549,6247,6079
31118,720,15707,16141,16678,18642
31118,1500,38875,44603,40867,49915
31119,300,6699,4933,7085,5454
31119,720,18623,13228,17343,15272
