match_id,times,rad_gold_adv,rad_xp_adv
10558,720,-149,598
10558,1500,595,4773
10559,300,1012,492
10559,720,3198,2105
10559,1500,19619,18888
10560,300,1116,966
10560,720,1163,1078
10560,1500,5812,8000
10561,300,950,890
10561,720,1109,1710
10561,1500,14834,18798
10562,300,706,43
10562,720,923,2157
10562,1500,998,4895
10563,300,18,460
10563,720,-2298,-751
10563,1500,-5501,-8993
10564,300,475,97
10564,720,492,-968
10564,1500,3597,3568
10565,300,-610,-10
10565,720,-2011,-1786
10565,1500,1581,2892
10566,300,94,238
10566,720,689,-827
10566,1500,-3389,-4412
10567,300,-418,1024
10567,720,1556,4248
10567,1500,10164,10359
10568,300,31,-131
10568,720,4143,1420
10568,1500,-66,-2824
10569,300,733,-408
10569,720,4480,3556
10569,1500,17799,13537
10570,300,1059,906
10570,720,-577,-1532
10570,1500,4949,6555
10571,300,-832,167
10571,720,-6691,-4621
10571,1500,-24990,-20315
10572,300,198,1423
10572,720,7728,6806
10572,1500,27895,19395
10573,300,1777,1443
10573,720,3304,4114
10573,1500,8911,7905
10574,300,322,110
10574,720,4860,5138
10574,1500,17460,11944
10575,300,1150,883
10575,720,6356,4123
10575,1500,35622,21431
10576,300,1440,279
10576,720,2060,1331
10576,1500,14079,14321
10577,300,757,530
10577,720,921,-552
10577,1500,4560,4014
10578,300,-1035,-1060
10578,720,-3326,-2162
10578,1500,-6451,-5615
10579,300,-1147,-1329
10579,720,-2690,-4257
10579,1500,-7764,-11582
10580,300,-60,-885
10580,720,2839,1727
10580,1500,5770,7480
10581,300,1102,91
10581,720,-1505,-2714
10581,1500,3583,1933
10582,300,-1902,460
10582,720,-3903,-1550
10582,1500,-17576,-18077
10583,300,-628,871
10583,720,-3494,-1933
10583,1500,-19787,-16016
10584,300,-1797,-1314
10584,720,-746,129
10584,1500,5519,3850
10585,300,827,528
10585,720,-1625,-766
10585,1500,-1763,-657
10586,300,719,446
10586,720,2400,3519
10586,1500,-2821,-6085
10587,300,601,908
10587,720,1010,432
10587,1500,29990,19527
10588,300,857,175
10588,720,2032,2488
10588,1500,6646,8193
10589,300,-5,-388
10589,720,-1056,-1235
10589,1500,20,2254
10590,300,1679,1172
10590,720,5143,3277
10590,1500,10902,7340
10591,300,-1867,-1164
10591,720,-3824,-2828
10591,1500,-2314,-2390
10592,300,-2149,-1078
10592,720,-4718,-4650
10592,1500,-18066,-15337
10593,300,-961,-187
10593,720,-345,-329
10593,1500,-3042,-3589
10594,300,1466,631
10594,720,1802,1491
10594,1500,2026,-1446
10595,300,522,2177
10595,720,2832,8157
10595,1500,-9143,-3079
10596,300,-2775,-1644
10596,720,-3387,-2135
10596,1500,-3684,-6425
10597,300,-205,756
10597,720,1636,2636
10597,1500,26,5106
10598,300,545,268
10598,720,7712,5496
10598,1500,27902,16510
10599,300,3675,2179
10599,720,3758,2683
10599,1500,1455,3347
10600,300,802,494
10600,720,676,-2173
10600,1500,-1539,-4068
10601,300,-1721,-841
10601,720,-2475,-1878
10601,1500,4402,7794
10602,300,-317,152
10602,720,720,1132
10602,1500,4073,1824
10603,300,-1607,-1436
10603,720,-1773,-630
10603,1500,-3994,-3729
10604,300,586,485
10604,720,5415,6062
10604,1500,29378,22092
10605,300,17,-65
10605,720,-4150,-6031
10605,1500,-5691,-10528
10606,300,359,-253
10606,720,-864,-810
10606,1500,-3437,-1476
10607,300,-2250,-2233
10607,720,-278,375
10607,1500,9237,4716
10608,300,1169,-402
10608,720,2803,-59
10608,1500,-1493,-6211
10609,300,956,1800
10609,720,5178,4653
10609,1500,4243,2770
10610,300,-1123,-844
10610,720,-5004,-4932
10610,1500,-18838,-19572
10611,300,41,-5
10611,720,787,-769
10611,1500,3234,2300
10612,300,-300,598
10612,720,-525,-52
10612,1500,1189,1700
10613,300,-646,-630
10613,720,-2808,-3406
10613,1500,-9041,-12660
10614,300,195,420
10614,720,2322,1713
10614,1500,9896,13374
10615,300,1631,859
10615,720,6119,3658
10615,1500,13467,11672
10616,300,-200,263
10616,720,-306,965
10616,1500,103,1536
10617,300,1338,206
10617,720,1947,987
10617,1500,-6464,-9098
10618,300,-875,-1389
10618,720,1884,2575
10618,1500,7440,9388
10619,300,772,911
10619,720,1743,2174
10619,1500,20572,17897
10620,300,1926,1462
10620,720,10304,9220
10621,300,-225,-700
10621,720,-2277,-2338
10621,1500,-4202,-2546
10622,300,1940,460
10622,720,2917,1862
10622,1500,1249,323
10623,300,-866,-278
10623,720,977,276
10623,1500,7164,3796
10624,300,413,-384
10624,720,-309,-338
10624,1500,-3418,-10049
10625,300,-484,-1238
10625,720,-2548,-3133
10625,1500,-5521,-9588
10626,300,-1115,-1242
10626,720,-1109,-2101
10626,1500,-3832,-6627
10627,300,-801,-416
10627,720,38,-432
10627,1500,3237,1877
10628,300,-23,481
10628,720,2798,3522
10628,1500,4113,4764
10629,300,142,443
10629,720,-561,1209
10629,1500,-11411,-16130
10630,300,-56,-358
10630,720,742,-68
10630,1500,20790,18545
10631,300,-547,79
10631,720,-3257,-4132
10631,1500,-21867,-20499
10632,300,-85,838
10632,720,2822,3715
10632,1500,4686,6417
10633,300,10,484
10633,720,-575,-1764
10633,1500,8316,11970
10634,300,-2920,-661
10634,720,-6021,-3822
10634,1500,-19805,-11469
10635,300,974,1128
10635,720,3998,1436
10635,1500,961,1548
10636,300,818,202
10636,720,4682,1376
10636,1500,2968,-994
10637,300,-810,-593
10637,720,-1959,-2610
10637,1500,-10276,-12367
10638,300,1272,1076
10638,720,1052,680
10638,1500,4613,5745
10639,300,603,1085
10639,720,-1589,-530
10639,1500,-10842,-15583
10640,300,-304,-29
10640,720,-1662,-3108
10640,1500,-14835,-16433
10641,300,-2245,-1208
10641,720,-4584,-2662
10641,1500,-26743,-17531
10642,300,564,171
10642,720,-1563,-187
10642,1500,-1957,4236
10643,300,391,288
10643,720,-700,17
10643,1500,-6764,-13634
10644,300,136,-648
10644,720,-1701,-1596
10644,1500,3371,-506
10645,300,-208,621
10645,720,-9471,-6759
10645,1500,-27803,-24198
10646,300,716,234
10646,720,1547,2447
10646,1500,292,312
10647,300,1088,1101
10647,720,2364,1241
10647,1500,-1309,-165
10648,300,-1711,-1786
10648,720,-4742,-5665
10648,1500,-2859,-4639
10649,300,278,-4
10649,720,4190,5019
10649,1500,-571,-2363
10650,300,117,-884
10650,720,663,-16
10650,1500,-2084,-7100
10651,300,-262,-55
10651,720,4355,3020
10651,1500,9104,3440
10652,300,-2754,-1370
10652,720,-1155,391
10652,1500,-6523,-9204
10653,300,1121,-499
10653,720,3364,1977
10653,1500,-7339,-6392
10654,300,-1264,-1311
10654,720,-2588,-4610
10654,1500,-3326,-6567
10655,300,-975,-531
10655,720,469,2321
10655,1500,-7437,-10936
10656,300,-1188,-1137
10656,720,-1986,621
10656,1500,-10133,-11110
10657,300,398,-346
10657,720,-529,-863
10657,1500,799,-655
10658,300,989,1991
10658,720,4141,3214
10658,1500,-151,-288
10659,300,784,450
10659,720,2228,896
10659,1500,3560,1650
10660,300,-804,-264
10660,720,1513,1864
10660,1500,3497,3480
10661,300,-200,-537
10661,720,367,301
10661,1500,-770,5069
10662,300,1642,1398
10662,720,1521,247
10662,1500,12538,16703
10663,300,-1352,-629
10663,720,-1736,-1234
10663,1500,-4137,-3766
10664,300,176,-1188
10664,720,-1231,-2155
10664,1500,-5362,-6137
10665,300,-701,354
10665,720,-807,1378
10665,1500,-4766,484
10666,300,-1123,-94
10666,720,-3586,-284
10666,1500,-21962,-23408
10667,300,-943,-299
10667,720,-1160,312
10667,1500,1705,7398
10668,300,200,-702
10668,720,-1464,-3645
10668,1500,-10024,-14213
10669,300,-164,-1040
10669,720,-3708,-4387
10669,1500,-1457,-2155
10670,300,-307,-121
10670,720,-458,-1302
10670,1500,4102,7166
10671,300,-3343,-2191
10671,720,-5042,-3712
10671,1500,-11354,-11995
10672,300,-753,-41
10672,720,-875,1266
10672,1500,-6883,810
10673,300,-1398,-960
10673,720,556,299
10673,1500,-1549,-4623
10674,300,-1424,-810
10674,720,-3011,-3297
10674,1500,602,362
10675,300,1370,-421
10675,720,-1773,-2899
10675,1500,2721,-1343
10676,300,-1845,-1318
10676,720,-5586,-5723
10676,1500,-15872,-16385
10677,300,-1018,-1215
10677,720,-3755,-2284
10677,1500,-10973,-8603
10678,300,2046,3348
10678,720,3697,4761
10678,1500,10134,13626
10679,300,490,380
10679,720,795,1636
10679,1500,6398,7826
10680,300,1192,756
10680,720,-349,-1812
10680,1500,-3111,-7080
10681,300,-824,-270
10681,720,-5070,-4058
10681,1500,-13284,-9131
10682,300,-1365,348
10682,720,812,3328
10682,1500,-4106,-6973
10683,300,1293,636
10683,720,-2960,-1367
10683,1500,-726,886
10684,300,545,85
10684,720,2955,844
10684,1500,-260,-2676
10685,300,-843,-268
10685,720,291,845
10685,1500,10873,17261
10686,300,-894,130
10686,720,-1195,1748
10686,1500,-2679,2784
10687,300,760,1389
10687,720,2337,3817
10687,1500,7648,12549
10688,300,-941,-206
10688,720,-2064,-2563
10688,1500,-1781,-5590
10689,300,-1457,-2637
10689,720,-5447,-3960
10689,1500,-2618,-2712
10690,300,397,882
10690,720,267,1334
10690,1500,-322,-478
10691,300,-381,-378
10691,720,2866,3519
10691,1500,4771,7073
10692,300,-919,-805
10692,720,-271,656
10692,1500,2379,1400
10693,300,839,823
10693,720,467,-294
10693,1500,-2391,-5307
10694,300,1947,2141
10694,720,7100,6476
10694,1500,21496,16316
10695,300,-1129,-343
10695,720,-7116,-6776
10695,1500,-8150,-7410
10696,300,-247,450
10696,720,-2519,-2230
10696,1500,-10276,-12212
10697,300,-54,-261
10697,720,3367,2154
10697,1500,28862,26633
10698,300,325,720
10698,720,106,914
10698,1500,-6561,-9691
10699,300,-402,-936
10699,720,-2598,-2965
10699,1500,-15602,-11070
10700,300,803,-392
10700,720,4997,3708
10700,1500,10081,9981
10701,300,651,495
10701,720,5239,3483
10701,1500,24999,17499
10702,300,-513,-536
10702,720,2650,2214
10703,300,2,-158
10703,720,-622,-599
10703,1500,-10806,-18144
10704,300,758,-92
10704,720,-781,-1786
10704,1500,-1459,-1794
10705,300,2461,1610
10705,720,6614,5503
10705,1500,12967,13208
10706,300,-413,-735
10706,720,-743,-1433
10706,1500,-11314,-16488
10707,300,-18,104
10707,720,1791,2594
10707,1500,28901,19634
10708,300,244,224
10708,720,-354,-1874
10708,1500,1235,2890
10709,300,1051,1180
10709,720,-1739,-3120
10709,1500,-6230,-5369
10710,300,-385,118
10710,720,-2104,-3126
10710,1500,-8292,-11559
10711,300,-208,-203
10711,720,-2488,-1376
10711,1500,-4279,-13115
10712,300,-141,-148
10712,720,159,-508
10712,1500,-4537,-9680
10713,300,178,597
10713,720,3115,2423
10714,300,1939,2005
10714,720,2811,4406
10714,1500,16543,14844
10715,300,416,367
10715,720,-320,2619
10715,1500,-5315,-4926
10716,300,-384,-379
10716,720,-2239,-2246
10716,1500,5652,13895
10717,300,3179,2057
10717,720,6987,4196
10717,1500,26381,17725
10718,300,-939,-736
10718,720,485,-134
10718,1500,-9896,-16168
10719,300,-2850,-1217
10719,720,-2737,-77
10719,1500,6816,18160
