Match ID,Radiant pick,Dire pick,Radiant Win,Score,Last hits,radiant win %,dire win %
5216129302,"['huskar', 'storm_spirit', 'pangolier', 'phantom_assassin', 'troll_warlord']","['pudge', 'ursa', 'rubick', 'windrunner', 'weaver']",1,14,318,0.5102,0.48979999999999996
5216129316,"['nyx_assassin', 'zuus', 'witch_doctor', 'doom_bringer', 'slark']","['faceless_void', 'tiny', 'ogre_magi', 'winter_wyvern', 'sniper']",1,13,-191,0.5109999999999999,0.4888
5216129318,"['mirana', 'shredder', 'huskar', 'windrunner', 'ancient_apparition']","['treant', 'tidehunter', 'drow_ranger', 'medusa', 'pudge']",1,26,65,0.4716,0.5282
5216129408,"['windrunner', 'ogre_magi', 'rattletrap', 'medusa', 'mirana']","['lion', 'queenofpain', 'slark', 'zuus', 'pudge']",1,13,116,0.518,0.48179999999999995
5216129409,"['troll_warlord', 'magnataur', 'disruptor', 'undying', 'riki']","['necrolyte', 'huskar', 'jakiro', 'grimstroke', 'pudge']",0,-14,-37,0.4958,0.5044000000000001
5216129415,"['witch_doctor', 'sniper', 'viper', 'kunkka', 'legion_commander']","['monkey_king', 'necrolyte', 'invoker', 'techies', 'ogre_magi']",0,-25,-310,0.45920000000000005,0.5404
5216129416,"['windrunner', 'juggernaut', 'furion', 'pudge', 'invoker']","['skeleton_king', 'winter_wyvern', 'troll_warlord', 'ogre_magi', 'medusa']",0,-6,-113,0.5112,0.4888
5216129419,"['windrunner', 'pudge', 'drow_ranger', 'silencer', 'lycan']","['snapfire', 'nevermore', 'phantom_assassin', 'ancient_apparition', 'bounty_hunter']",0,-15,-131,0.5172000000000001,0.48279999999999995
5216129502,"['tiny', 'lich', 'rattletrap', 'invoker', 'slark']","['nyx_assassin', 'ogre_magi', 'shredder', 'razor', 'obsidian_destroyer']",1,10,115,0.47520000000000007,0.5247999999999999
5216129511,"['oracle', 'void_spirit', 'lina', 'skeleton_king', 'tiny']","['slark', 'rattletrap', 'disruptor', 'juggernaut', 'invoker']",1,4,-106,0.4986,0.5014000000000001
5216129516,"['viper', 'lion', 'life_stealer', 'winter_wyvern', 'axe']","['dazzle', 'grimstroke', 'phantom_assassin', 'techies', 'pudge']",0,-11,-42,0.4968,0.5035999999999999
5216129517,"['phantom_assassin', 'dark_seer', 'lina', 'shredder', 'obsidian_destroyer']","['sniper', 'disruptor', 'nevermore', 'vengefulspirit', 'mars']",0,-26,-80,0.49559999999999993,0.5045999999999999
5216129518,"['nevermore', 'lina', 'mirana', 'life_stealer', 'tidehunter']","['nyx_assassin', 'pudge', 'storm_spirit', 'silencer', 'alchemist']",1,21,104,0.5189999999999999,0.48100000000000004
5216129604,"['bloodseeker', 'tiny', 'techies', 'templar_assassin', 'monkey_king']","['antimage', 'death_prophet', 'meepo', 'pudge', 'treant']",0,28,49,0.4798,0.5202
5216129700,"['crystal_maiden', 'ancient_apparition', 'lina', 'sand_king', 'bloodseeker']","['ogre_magi', 'kunkka', 'faceless_void', 'necrolyte', 'spirit_breaker']",0,-24,-312,0.4986,0.5014000000000001
5216129712,"['venomancer', 'zuus', 'juggernaut', 'lion', 'ogre_magi']","['phantom_assassin', 'templar_assassin', 'razor', 'pugna', 'treant']",0,-8,-272,0.4546,0.5452
5216129808,"['shadow_shaman', 'juggernaut', 'slark', 'witch_doctor', 'gyrocopter']","['snapfire', 'alchemist', 'phantom_assassin', 'weaver', 'skywrath_mage']",1,23,-23,0.489,0.5112
5216129809,"['dark_willow', 'alchemist', 'lion', 'mars', 'snapfire']","['skywrath_mage', 'magnataur', 'earthshaker', 'juggernaut', 'venomancer']",0,-11,-397,0.48360000000000003,0.5164
5216129811,"['bristleback', 'phantom_assassin', 'queenofpain', 'pudge', 'rubick']","['legion_commander', 'magnataur', 'winter_wyvern', 'juggernaut', 'nevermore']",0,11,-331,0.4746,0.5252000000000001
5216129812,"['obsidian_destroyer', 'brewmaster', 'rattletrap', 'lich', 'riki']","['phantom_lancer', 'rubick', 'skywrath_mage', 'snapfire', 'magnataur']",0,-16,-106,0.4908,0.5092000000000001
5216129905,"['spectre', 'witch_doctor', 'skywrath_mage', 'earthshaker', 'tiny']","['zuus', 'slardar', 'juggernaut', 'lion', 'magnataur']",0,-16,-489,0.47759999999999997,0.5227999999999999
5216130011,"['mars', 'grimstroke', 'phantom_lancer', 'nevermore', 'lion']","['faceless_void', 'invoker', 'drow_ranger', 'pudge', 'viper']",0,-17,-165,0.5025999999999999,0.49720000000000003
5216130118,"['dark_willow', 'nevermore', 'riki', 'centaur', 'snapfire']","['tusk', 'void_spirit', 'silencer', 'wisp', 'pudge']",1,8,234,0.5096,0.4904
5216130207,"['lina', 'sniper', 'life_stealer', 'rubick', 'slark']","['crystal_maiden', 'morphling', 'enigma', 'huskar', 'void_spirit']",1,43,297,0.4572,0.5428000000000001
5216130219,"['storm_spirit', 'abaddon', 'ursa', 'shadow_shaman', 'tiny']","['tidehunter', 'venomancer', 'juggernaut', 'lina', 'winter_wyvern']",0,-12,249,0.487,0.513
5216130303,"['crystal_maiden', 'windrunner', 'skeleton_king', 'monkey_king', 'jakiro']","['rubick', 'antimage', 'zuus', 'snapfire', 'bristleback']",0,-25,-244,0.49000000000000005,0.5098
5216130305,"['sniper', 'ogre_magi', 'phantom_assassin', 'lion', 'pudge']","['morphling', 'spectre', 'snapfire', 'bloodseeker', 'crystal_maiden']",0,-39,-330,0.4488,0.5513999999999999
5216130319,"['troll_warlord', 'silencer', 'obsidian_destroyer', 'slark', 'lion']","['luna', 'zuus', 'bristleback', 'tidehunter', 'windrunner']",1,10,322,0.5016,0.4984
5216130400,"['earthshaker', 'abyssal_underlord', 'obsidian_destroyer', 'lion', 'slark']","['night_stalker', 'life_stealer', 'crystal_maiden', 'storm_spirit', 'dark_seer']",1,2,98,0.4732,0.5266000000000001
5216130506,"['lich', 'axe', 'faceless_void', 'zuus', 'pudge']","['antimage', 'phantom_lancer', 'earthshaker', 'witch_doctor', 'invoker']",0,19,-442,0.4888,0.5112
5216130508,"['monkey_king', 'skywrath_mage', 'dragon_knight', 'disruptor', 'lich']","['invoker', 'drow_ranger', 'vengefulspirit', 'snapfire', 'furion']",1,28,-67,0.49219999999999997,0.5078
5216130510,"['weaver', 'gyrocopter', 'jakiro', 'skywrath_mage', 'ember_spirit']","['earthshaker', 'nevermore', 'shadow_shaman', 'spirit_breaker', 'phantom_lancer']",1,15,133,0.49440000000000006,0.5056
5216130600,"['earthshaker', 'juggernaut', 'lich', 'morphling', 'meepo']","['enigma', 'alchemist', 'slark', 'rubick', 'zuus']",0,-4,234,0.48480000000000006,0.5151999999999999
5216130602,"['medusa', 'venomancer', 'morphling', 'ursa', 'witch_doctor']","['juggernaut', 'lion', 'chaos_knight', 'lina', 'phoenix']",0,-17,-113,0.499,0.501
5216130603,"['snapfire', 'riki', 'warlock', 'mars', 'abyssal_underlord']","['treant', 'slark', 'invoker', 'legion_commander', 'jakiro']",0,-25,-318,0.5058,0.49399999999999994
5216130606,"['winter_wyvern', 'faceless_void', 'lion', 'slardar', 'puck']","['tusk', 'pudge', 'templar_assassin', 'crystal_maiden', 'life_stealer']",1,23,103,0.4936,0.5068
